X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
1.41807,43.5757,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,PM10,5,14.3,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,572184,6276463,25
0.179722,43.6303,GERS,PEYRUSSE-VIEILLE,32317,Peyrusse Vieille Rural,FR50020,Rurale Nationale,Fond,PM10,5,9.9,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,472377,6285316,85
1.43861,43.6236,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Mazades Urbain,FR50021,Urbaine,Fond,PM10,5,13.5,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,573948,6281752,97
2.14611,43.9281,TARN,ALBI,81004,Albi Urbain,FR50026,Urbaine,Fond,PM10,5,13.5,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,631428,6314715,127
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,PM10,5,14.1,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,574306,6277713,163
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower Industriel,FR50039,Urbaine,Industrielle,PM10,5,15.7,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,570147,6274936,191
1.40392,43.5564,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Chapitre Industriel,FR50040,Urbaine,Industrielle,PM10,5,17.4,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,570997,6274342,197
-0.038889,43.0969,HAUTES-PYRENEES,LOURDES,65286,Lourdes-Lapaca Urbain,FR50042,Urbaine,Fond,PM10,5,12.4,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,452460,6226722,236
1.37725,43.6253,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Piste ,FR50043,Périurbaine,Trafic,PM10,5,12.6,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,568999,6282041,264
1.37572,43.6335,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Trafic ,FR50044,Périurbaine,Trafic,PM10,5,14.7,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,568894,6282951,293
1.59583,43.8039,HAUTE-GARONNE,BESSIERES,31066,Bessières-ECONOTRE Industriel,FR50047,Rurale proche Zone Urbaine,Industrielle,PM10,5,12.8,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,586995,6301548,299
1.44959,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,PM10,5,26.7,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,574726,6276223,323
0.062222,43.2303,HAUTES-PYRENEES,TARBES,65440,Tarbes-Dupuy Urbain,FR50052,Urbaine,Fond,PM10,5,13.1,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,461244,6241231,353
2.23,43.6106,TARN,CASTRES,81065,Castres-Travet Urbain,FR50053,Urbaine,Fond,PM10,5,13.3,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,637820,6279364,389
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,PM10,5,16,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,576334,6283873,415
1.37531,44.0129,TARN-ET-GARONNE,MONTAUBAN,82121,Montauban - Ramierou Urbain,FR50060,Urbaine,Fond,PM10,5,14.1,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,569728,6325102,452
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,PM10,5,13.5,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,771642,6277340,486
3.89861,43.61,HERAULT,MONTPELLIER,34172,Montpellier - Pompignane Trafic,FR50203,Urbaine,Trafic,PM10,5,17.3,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,772566,6279407,522
4.08842,43.6758,HERAULT,LUNEL-VIEL,34146,Lunel-Viel - Industriel,FR50206,Périurbaine,Industrielle,PM10,5,14.8,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,787792,6286912,564
3.50483,43.2878,HERAULT,AGDE,34003,Agathois-Piscénois - Périurbain,FR50210,Périurbaine,Fond,PM10,5,13.2,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,740996,6243312,606
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - Urbain,FR50211,Urbaine,Fond,PM10,5,14.3,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,810536,6304894,622
4.36199,43.8299,GARD,NIMES,30189,Nîmes - Planas - Trafic,FR50212,Urbaine,Trafic,PM10,5,18.4,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,809561,6304377,640
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM10,5,14.3,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,691771,6177360,670
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,PM10,5,21,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,690848,6177376,703
3.23734,43.3412,HERAULT,BEZIERS,34032,Beziers Leclerc trafic,FR50226,Urbaine,Trafic,PM10,5,14.3,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,719256,6249147,734
-0.0950538,43.0075,HAUTES-PYRENEES,ARGELES-GAZOST,65025,Argeles-Gazost,FR50813,Urbaine,Fond,PM10,5,12.5,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,447498,6216969,812
2.5707,44.357,AVEYRON,RODEZ,12202,Rodez - Camonil Urbain,FR50815,Urbaine,Fond,PM10,5,11.2,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,665783,6362089,844
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Port de l Embouchure Trafic,FR50821,Urbaine,Trafic,PM10,5,20.1,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,572027,6280312,872
1.13943,42.99,ARIEGE,SAINT-GIRONS,9261,St-Girons Urbain,FR50826,Urbaine,Fond,PM10,5,11.7,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,548139,6211857,899
0.59467,43.6511,GERS,AUCH,32013,AUCH ST EXUPERY,FR50833,Urbaine,Fond,PM10,5,13,ug.m-3,annuelle,2023/01/01 00:00:00+00,2023/12/31 23:59:00+00,t,505927,6286516,919